p1	p2	rg	p	p1_id	p2_id	id	method
../output_wrangling/output_pmid27989323_IL6_eur.hdl.rds	../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	0	  NA 	pmid27989323_IL6_eur	pmid27455348_ALS_eur	pmid27989323_IL6_eur/pmid27455348_ALS_eur	hdl
../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	../output_wrangling/output_pmid27989323_IL7_eur.hdl.rds	0	  NA 	pmid27455348_ALS_eur	pmid27989323_IL7_eur	pmid27455348_ALS_eur/pmid27989323_IL7_eur	hdl
../output_wrangling/output_pmid27989323_IL7_eur.hdl.rds	../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	0	  NA 	pmid27989323_IL7_eur	pmid27455348_ALS_eur	pmid27989323_IL7_eur/pmid27455348_ALS_eur	hdl
../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	../output_wrangling/output_pmid27989323_IL8_eur.hdl.rds	0	  NA 	pmid27455348_ALS_eur	pmid27989323_IL8_eur	pmid27455348_ALS_eur/pmid27989323_IL8_eur	hdl
../output_wrangling/output_pmid27989323_IL8_eur.hdl.rds	../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	0	  NA 	pmid27989323_IL8_eur	pmid27455348_ALS_eur	pmid27989323_IL8_eur/pmid27455348_ALS_eur	hdl
../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	../output_wrangling/output_pmid27989323_IL9_eur.hdl.rds	0	  NA 	pmid27455348_ALS_eur	pmid27989323_IL9_eur	pmid27455348_ALS_eur/pmid27989323_IL9_eur	hdl
../output_wrangling/output_pmid27989323_IL9_eur.hdl.rds	../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	0	  NA 	pmid27989323_IL9_eur	pmid27455348_ALS_eur	pmid27989323_IL9_eur/pmid27455348_ALS_eur	hdl
../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	../output_wrangling/output_pmid27989323_ip10_eur.hdl.rds	-0.2806	  7.81e-01 	pmid27455348_ALS_eur	pmid27989323_ip10_eur	pmid27455348_ALS_eur/pmid27989323_ip10_eur	hdl
../output_wrangling/output_pmid27989323_ip10_eur.hdl.rds	../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	-0.2806	  7.81e-01 	pmid27989323_ip10_eur	pmid27455348_ALS_eur	pmid27989323_ip10_eur/pmid27455348_ALS_eur	hdl
../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	../output_wrangling/output_pmid27989323_MCP1_eur.hdl.rds	-0.3076	  3.11e-01 	pmid27455348_ALS_eur	pmid27989323_MCP1_eur	pmid27455348_ALS_eur/pmid27989323_MCP1_eur	hdl
../output_wrangling/output_pmid27989323_MCP1_eur.hdl.rds	../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	-0.3076	  3.11e-01 	pmid27989323_MCP1_eur	pmid27455348_ALS_eur	pmid27989323_MCP1_eur/pmid27455348_ALS_eur	hdl
../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	../output_wrangling/output_pmid27989323_MCP3_eur.hdl.rds	0	  NA 	pmid27455348_ALS_eur	pmid27989323_MCP3_eur	pmid27455348_ALS_eur/pmid27989323_MCP3_eur	hdl
../output_wrangling/output_pmid27989323_MCP3_eur.hdl.rds	../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	0	  NA 	pmid27989323_MCP3_eur	pmid27455348_ALS_eur	pmid27989323_MCP3_eur/pmid27455348_ALS_eur	hdl
../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	../output_wrangling/output_pmid27989323_MCSF_eur.hdl.rds	0	  NA 	pmid27455348_ALS_eur	pmid27989323_MCSF_eur	pmid27455348_ALS_eur/pmid27989323_MCSF_eur	hdl
../output_wrangling/output_pmid27989323_MCSF_eur.hdl.rds	../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	0	  NA 	pmid27989323_MCSF_eur	pmid27455348_ALS_eur	pmid27989323_MCSF_eur/pmid27455348_ALS_eur	hdl
../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	../output_wrangling/output_pmid27989323_MIF_eur.hdl.rds	0	  0.00e+00 	pmid27455348_ALS_eur	pmid27989323_MIF_eur	pmid27455348_ALS_eur/pmid27989323_MIF_eur	hdl
../output_wrangling/output_pmid27989323_MIF_eur.hdl.rds	../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	0	  0.00e+00 	pmid27989323_MIF_eur	pmid27455348_ALS_eur	pmid27989323_MIF_eur/pmid27455348_ALS_eur	hdl
../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	../output_wrangling/output_pmid27989323_MIG_eur.hdl.rds	0	  NA 	pmid27455348_ALS_eur	pmid27989323_MIG_eur	pmid27455348_ALS_eur/pmid27989323_MIG_eur	hdl
../output_wrangling/output_pmid27989323_MIG_eur.hdl.rds	../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	0	  NA 	pmid27989323_MIG_eur	pmid27455348_ALS_eur	pmid27989323_MIG_eur/pmid27455348_ALS_eur	hdl
../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	../output_wrangling/output_pmid27989323_MIP1a_eur.hdl.rds	0	  NA 	pmid27455348_ALS_eur	pmid27989323_MIP1a_eur	pmid27455348_ALS_eur/pmid27989323_MIP1a_eur	hdl
../output_wrangling/output_pmid27989323_MIP1a_eur.hdl.rds	../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	0	  NA 	pmid27989323_MIP1a_eur	pmid27455348_ALS_eur	pmid27989323_MIP1a_eur/pmid27455348_ALS_eur	hdl
../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	../output_wrangling/output_pmid27989323_MIP1b_eur.hdl.rds	0.2147	  7.59e-01 	pmid27455348_ALS_eur	pmid27989323_MIP1b_eur	pmid27455348_ALS_eur/pmid27989323_MIP1b_eur	hdl
../output_wrangling/output_pmid27989323_MIP1b_eur.hdl.rds	../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	0.2147	  7.59e-01 	pmid27989323_MIP1b_eur	pmid27455348_ALS_eur	pmid27989323_MIP1b_eur/pmid27455348_ALS_eur	hdl
../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	../output_wrangling/output_pmid27989323_PDGFbb_eur.hdl.rds	0	  NA 	pmid27455348_ALS_eur	pmid27989323_PDGFbb_eur	pmid27455348_ALS_eur/pmid27989323_PDGFbb_eur	hdl
../output_wrangling/output_pmid27989323_PDGFbb_eur.hdl.rds	../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	0	  NA 	pmid27989323_PDGFbb_eur	pmid27455348_ALS_eur	pmid27989323_PDGFbb_eur/pmid27455348_ALS_eur	hdl
../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	../output_wrangling/output_pmid27989323_RANTES_eur.hdl.rds	0	  NA 	pmid27455348_ALS_eur	pmid27989323_RANTES_eur	pmid27455348_ALS_eur/pmid27989323_RANTES_eur	hdl
../output_wrangling/output_pmid27989323_RANTES_eur.hdl.rds	../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	0	  NA 	pmid27989323_RANTES_eur	pmid27455348_ALS_eur	pmid27989323_RANTES_eur/pmid27455348_ALS_eur	hdl
../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	../output_wrangling/output_pmid27989323_SCF_eur.hdl.rds	0	  NA 	pmid27455348_ALS_eur	pmid27989323_SCF_eur	pmid27455348_ALS_eur/pmid27989323_SCF_eur	hdl
../output_wrangling/output_pmid27989323_SCF_eur.hdl.rds	../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	0	  NA 	pmid27989323_SCF_eur	pmid27455348_ALS_eur	pmid27989323_SCF_eur/pmid27455348_ALS_eur	hdl
../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	../output_wrangling/output_pmid27989323_SCGFb_eur.hdl.rds	0	  NA 	pmid27455348_ALS_eur	pmid27989323_SCGFb_eur	pmid27455348_ALS_eur/pmid27989323_SCGFb_eur	hdl
